id,area_ha,perimeter_m,compactness,width_m,height_m,cause
274,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
275,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
277,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
279,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
288,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
289,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
291,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
293,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
295,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
298,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
300,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
301,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
304,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
308,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
311,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
314,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
316,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
318,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
319,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
320,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
322,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
325,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
326,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
327,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
328,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
329,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
330,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
332,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
333,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
334,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
336,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
338,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
340,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
341,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
342,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
343,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
346,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
348,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
349,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
350,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
351,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
353,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
354,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
355,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
356,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
359,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
361,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
366,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
367,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
369,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
370,0.0001,4.0,0.7853981633974483,1.0,1.0,indetermine
